2021-05-13-13.40.16 - Current temp: 50.250000, Set point: 51.000000, Relay: On
2021-05-13-13.40.24 - Current temp: 50.312500, Set point: 51.000000, Relay: On
2021-05-13-13.40.32 - Current temp: 50.312500, Set point: 51.000000, Relay: On
2021-05-13-13.40.40 - Current temp: 50.375000, Set point: 51.000000, Relay: On
2021-05-13-13.40.48 - Current temp: 50.437500, Set point: 51.000000, Relay: On
2021-05-13-13.40.56 - Current temp: 50.500000, Set point: 51.000000, Relay: On
2021-05-13-13.41.04 - Current temp: 50.562500, Set point: 51.000000, Relay: On
2021-05-13-13.41.12 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-13.41.20 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-13.41.28 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-13.41.36 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-13.41.44 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-13.41.52 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-13.42.00 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-13.42.08 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-13.42.16 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-13.42.24 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-13.42.32 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-13.42.40 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.42.48 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.42.56 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.43.04 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.43.12 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.43.20 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.43.28 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.43.36 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.43.44 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.43.52 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.44.00 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.44.08 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.44.16 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.44.24 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.44.32 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.44.40 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.44.48 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.44.56 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.04 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.12 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.20 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.28 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.36 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.44 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.45.52 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.00 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.08 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.16 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.24 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.32 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.40 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.48 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.46.56 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.47.04 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-13.47.12 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.47.20 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-13.47.28 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-13.47.36 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
